geometry,address
POINT (-90.07846134507113 29.95255315),"1515 Poydras, Lasalle Street, 70163, Lasalle Street, New Orleans, Louisiana, United States"
POINT (-89.97438482597842 30.0311509),"9900, Lake Forest Boulevard, 70127, Lake Forest Boulevard, New Orleans, Louisiana, United States"
POINT (-91.0623099 30.4155823),"Coursey Blvd @ Coursey Ct - W, Coursey Boulevard, 70809, Coursey Boulevard, Baton Rouge, LA, United States"
POINT (-91.176562 30.4216503),"Thomas H Delpit Drive, 70802, Baton Rouge, Louisiana, United States"
POINT (-91.23918 30.3938839),"North Vaughn Drive, 70719, Brusly, Louisiana, United States"
POINT (-90.12591354752419 29.8824885),"7001, Lapalco Boulevard, 70072, Lapalco Boulevard, Marrero, Louisiana, United States"
POINT (-90.2004636113493 29.9148668),"90, Kathi Lane, 70094, Kathi Lane, Avondale, Louisiana, United States"
POINT (-90.1584078 29.9146498),"Westwego Swamp, 70096, LA, United States"
POINT (-90.12960025836715 29.88264655),"7201, Lapalco Boulevard, 70072, Lapalco Boulevard, Marrero, Louisiana, United States"
POINT (-90.1010171 29.8934246),"5001, Westbank Expressway, 70072, Westbank Expressway, Harvey, LA, United States"
POINT EMPTY,
POINT (-90.02159442456858 29.939769),"3215, General Meyer Avenue, 70114, General Meyer Avenue, New Orleans, LA, United States"
POINT (-90.11377566906735 29.96159555),"3201, South Carrollton Avenue, 70118, South Carrollton Avenue, New Orleans, Louisiana, United States"
POINT (-90.04999622137666 29.926060200000002),"1301, Franklin Avenue, 70053, Franklin Avenue, Gretna, LA, United States"
POINT EMPTY,
POINT (-89.9849425 30.01762),"Lancelot Drive, 70127, New Orleans, Louisiana, United States"
POINT (-90.0556386 29.9683198),"1030, Marigny Street, 70117, Marigny Street, New Orleans, LA, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT (-90.0726489 29.9427759),"Saint Charles Avenue, 70130, New Orleans, Louisiana, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT EMPTY,
POINT (-90.11085625660581 29.95125835),"3617, Calhoun Street, 70125, Calhoun Street, New Orleans, LA, United States"
POINT (-90.0528271 30.0203734),"Painters Street, 70122, New Orleans, Louisiana, United States"
POINT (-89.99815695297067 29.905897449999998),"3700, Tall Pines Drive, 70131, Tall Pines Drive, New Orleans, Louisiana, United States"
POINT (-90.00800879114992 29.937133799999998),"Edna Karr High School, 4400, General Meyer Ave, 70131, General Meyer Ave, New Orleans, Louisiana, United States"
POINT (-90.1031023 29.9404465),"South Claiborne Avenue, 70125, New Orleans, Louisiana, United States"
POINT (-90.03645216457983 29.94433865),"2013, General Meyer Avenue, 70114, General Meyer Avenue, New Orleans, LA, United States"
POINT (-90.03239440366795 29.924802),"2701, Behrman Highway, 70114, Behrman Highway, New Orleans, LA, United States"
POINT (-90.06293011409191 29.96098275),"721, Saint Philip Street, 70116, Saint Philip Street, New Orleans, Louisiana, United States"
POINT (-90.0836361 29.9753082),"2933, Saint Philip Street, 70119, Saint Philip Street, New Orleans, Louisiana, United States"
POINT (-90.0729924 29.95616),"1117, Canal Street, 70112, Canal Street, New Orleans, LA, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT EMPTY,
POINT (-90.2468813039433 29.97551205),"Our Lady of Perpetual Help Catholic Church, 1908, Short Street, 70062, Short Street, Kenner, LA, United States"
POINT (-90.07805599296339 29.9691011),"Phillis Wheatley Community School, 2300, Dumaine Street, 70119, Dumaine Street, New Orleans, LA, United States"
POINT (-90.08225951073533 30.0165152),"5800, Saint Bernard Avenue, 70122, Saint Bernard Avenue, New Orleans, Louisiana, United States"
POINT (-90.1025487883607 29.92543285),"1426, Napoleon Avenue, 70115, Napoleon Avenue, New Orleans, Louisiana, United States"
POINT (-90.068387 29.988402),"A P Tureaud Avenue, 70119, New Orleans, Louisiana, United States"
POINT (-90.07708792411924 29.97778055),"New Orleans Famous Hot Dogs, 1501, North Broad Street, 70119, North Broad Street, New Orleans, LA, United States"
