geometry,address
POINT (-72.89357322677617 41.37062105),"Ridge Road Elementary School, 1341, Ridge Road, 06473, Ridge Road, North Haven, CT, United States"
POINT (-73.125249 41.2144793),"45, Newtown Avenue, 06614, Newtown Avenue, Stratford, CT, United States"
POINT (-72.6445256 41.5447199),"60, Sears Street, 06457, Sears Street, Middletown, CT, United States"
POINT (-72.6692883 41.5208486),"10, Blue Orchard Drive, 06457, Blue Orchard Drive, Middletown, CT, United States"
POINT (-72.67200888434331 41.54103845),"Wilbert Snow Elementary School, 299, Wadsworth Street, 06457, Wadsworth Street, Middletown, CT, United States"
POINT (-72.8329801 41.4443444),"428, South Cherry Street, 06492, South Cherry Street, Wallingford, CT, United States"
POINT (-72.9385903 41.2978832),"393, Columbus Avenue, 06519, Columbus Avenue, New Haven, CT, United States"
POINT (-72.9572163 41.3445649),"199, Wilmot Road, 06515, Wilmot Road, New Haven, CT, United States"
POINT (-72.93349537810403 41.35440135),"Church Street School, 95, Church Street, 06514, Church Street, Hamden, CT, United States"
POINT (-72.9465949 41.2948653),"586, Ella T Grasso Boulevard, 06519, Ella T Grasso Boulevard, New Haven, CT, United States"
POINT (-72.9255811 41.3103774),"Blue State Coffee, 84, Wall Street, 06511, Wall Street, New Haven, CT, United States"
POINT (-72.9391206 41.2976248),"400, Columbus Avenue;West Street, 06519, Columbus Avenue;West Street, New Haven, CT, United States"
POINT (-73.0910966 41.3401269),"121, Wakelee Avenue, 06401, Wakelee Avenue, Ansonia, CT, United States"
POINT (-72.9421378 41.3134918),"259, Edgewood Avenue, 06511, Edgewood Avenue, New Haven, CT, United States"
POINT (-73.053371 41.2233949),"90, New Haven Avenue, 06460, New Haven Avenue, Milford, CT, United States"
POINT (-72.96240366057341 41.310224000000005),"Cullman-Heyman Tennis Center, 253, Derby Avenue, 06515, Derby Avenue, New Haven, CT, United States"
POINT (-72.9368784 41.3055134),"34, Park Street, 06519, Park Street, New Haven, CT, United States"
POINT (-72.93589549378038 41.3174426),"185, Goffe Street, 06511, Goffe Street, New Haven, CT, United States"
POINT (-72.95492024674968 41.334985950000004),"U.S. Army Reserve Center, 200, Wintergreen Avenue, 06515, Wintergreen Avenue, New Haven, CT, United States"
POINT (-72.95492024674968 41.334985950000004),"U.S. Army Reserve Center, 200, Wintergreen Avenue, 06515, Wintergreen Avenue, New Haven, CT, United States"
POINT (-72.9281113 41.3011996),"18, Tower Lane, 06519, Tower Lane, New Haven, CT, United States"
POINT (-72.9734351 41.3285603),"35, Davis Street, 06515, Davis Street, New Haven, CT, United States"
POINT (-72.9342764 41.3191948),"Dixwell Health Center, 226, Dixwell Avenue, 06511, Dixwell Avenue, New Haven, CT, United States"
POINT (-72.9342764 41.3191948),"Dixwell Health Center, 226, Dixwell Avenue, 06511, Dixwell Avenue, New Haven, CT, United States"
POINT (-72.9285132 41.3322576),"441, Huntington Street, 06511, Huntington Street, New Haven, CT, United States"
POINT (-72.9475629 41.2734525),"285, Main Street, 06516, Main Street, West Haven, CT, United States"
POINT (-72.92273380575365 41.36778095),"Hamden High School, 2040, Dixwell Avenue, 06514, Dixwell Avenue, Hamden, CT, United States"
POINT (-72.91179069113286 41.37871635),"Hamden Middle School, 2623, Dixwell Avenue, 06473, Dixwell Avenue, Hamden, CT, United States"
POINT (-72.94106160341263 41.305627),"Lee High School, 140, Legion Avenue, 06519, Legion Avenue, New Haven, CT, United States"
POINT (-72.9396021 41.3340177),"150, Fournier Street, 06515, Fournier Street, New Haven, CT, United States"
POINT (-72.8957898 41.3118988),"447, Ferry Street, 06513, Ferry Street, New Haven, CT, United States"
POINT (-72.93111792306941 41.3310538),"Lincoln-Bassett School, 130, Bassett Street, 06511, Bassett Street, New Haven, CT, United States"
POINT (-72.9335769 41.2964537),"559, Howard Avenue, 06519, Howard Avenue, New Haven, CT, United States"
POINT (-72.9342764 41.3191948),"Dixwell Health Center, 226, Dixwell Avenue, 06511, Dixwell Avenue, New Haven, CT, United States"
POINT (-72.9353087 41.2974099),"360, Columbus Avenue, 06519, Columbus Avenue, New Haven, CT, United States"
POINT (-72.9242749 41.3031791),"210, State Street, 06510, State Street, New Haven, CT, United States"
POINT (-72.93289954665468 41.2990813),"Cornell Scott Hill Health Center, 232, Cedar Street, 06519, Cedar Street, New Haven, CT, United States"
POINT (-72.9106941 41.3148188),"911, State Street, 06511, State Street, New Haven, CT, United States"
POINT (-72.9504457 41.3197076),"514, Whalley Avenue, 06511, Whalley Avenue, New Haven, CT, United States"
POINT (-72.9409102 41.2926203),"114, Morris Street;Washington Avenue;Truman Street, 06519, Morris Street;Washington Avenue;Truman Street, New Haven, CT, United States"
POINT (-72.9498204 41.2698711),"410, Campbell Avenue, 06516, Campbell Avenue, West Haven, CT, United States"
POINT (-72.9633429 41.32882),"1007, Whalley Avenue, 06515, Whalley Avenue, New Haven, CT, United States"
POINT (-72.7509423 41.3010795),"14, Sycamore Way, 06405, Sycamore Way, Branford, CT, United States"
POINT (-72.86916770731386 41.3272652),"1481, Quinnipiac Avenue, 06513, Quinnipiac Avenue, New Haven, CT, United States"
POINT (-72.8923223 41.3186362),"293, Clinton Avenue, 06513, Clinton Avenue, New Haven, CT, United States"
POINT (-72.83153525098547 41.329906699999995),"East Haven High School, 35, Wheelbarrow Lane, 06513, Wheelbarrow Lane, East Haven, CT, United States"
POINT (-72.9296350246566 41.31152445),"Toad's Place, 300, York Street, 06511, York Street, New Haven, CT, United States"
POINT (-72.900334 41.3125835),"374, Blatchley Avenue, 06513, Blatchley Avenue, New Haven, CT, United States"
POINT (-72.9266198 41.2975219),"New Haven Union Station, 50, Union Avenue, 06519, Union Avenue, New Haven, CT, United States"
POINT (-72.89331594622317 41.3087185),"Fair Haven School, 164, Grand Avenue, 06513, Grand Avenue, New Haven, CT, United States"
POINT (-72.8719149 41.3157752),"339, Eastern Street, 06513, Eastern Street, New Haven, CT, United States"
POINT (-72.8987862 41.3092717),"255, Blatchley Avenue, 06513, Blatchley Avenue, New Haven, CT, United States"
POINT (-72.8120500816643 41.27931715),"23, Eades Street, 06405, Eades Street, Branford, CT, United States"
POINT (-72.9033958 41.3055628),"100, James Street, 06513, James Street, New Haven, CT, United States"
POINT (-72.866243 41.2860863),"East Haven Academy, 67, Hudson Street, 06512, Hudson Street, East Haven, CT, United States"
POINT (-72.7890338 41.2845232),"118, Damascus Road, 06405, Damascus Road, Branford, CT, United States"
POINT (-72.9101311 41.3105801),"426, East Street, 06511, East Street, New Haven, CT, United States"
POINT (-72.8547981 41.2770478),"221, West Main Street, 06405, West Main Street, Branford, CT, United States"
POINT (-72.9079986 41.3246087),"181, Mitchell Drive, 06511, Mitchell Drive, New Haven, CT, United States"
POINT (-73.11731451673876 41.239411000000004),"Chapel Street Elementary School, 380, Chapel Street, 06614, Chapel Street, Stratford, CT, United States"
POINT (-73.14133260337954 41.21193425),"David Wooster Middle School, 150, Lincoln Street, 06614, Lincoln Street, Stratford, CT, United States"
POINT (-73.1195272 41.2388102),"490, Chapel Street, 06614, Chapel Street, Stratford, CT, United States"
POINT (-73.0736853 41.2145382),"949, Bridgeport Avenue, 06460, Bridgeport Avenue, Milford, CT, United States"
POINT (-73.1490051 41.2113057),"305, Albright Avenue, 06614, Albright Avenue, Stratford, CT, United States"
POINT (-73.04644806745412 41.24903485),"Platt Technical High School, 600, Orange Avenue, 06461, Orange Avenue, Milford, CT, United States"
POINT (-72.95864870700794 41.258612299999996),"West Haven High School, 1, McDonough Plaza, 06516, McDonough Plaza, West Haven, CT, United States"
POINT (-73.0564172 41.4880586),"30, Church Street, 06770, Church Street, Naugatuck, CT, United States"
POINT (-73.0099889 41.5438084),"Waterbury Fire Department Station 5, East Main Street, 06705, East Main Street, Waterbury, CT, United States"
POINT (-73.0356504 41.5384072),"1309, South Main Street, 06706, South Main Street, Waterbury, CT, United States"
POINT (-73.5387506 41.0442642),"137, Henry Street, 06902, Henry Street, Stamford, CT, United States"
POINT (-73.5265375 41.030141),"90, Stamford Avenue, 06902, Stamford Avenue, Stamford, CT, United States"
POINT (-73.5274002 41.063358),"195, Hillandale Avenue, 06906, Hillandale Avenue, Stamford, CT, United States"
POINT (-73.5104225 41.0515933),"103, Sylvan Knoll Road, 06902, Sylvan Knoll Road, Stamford, CT, United States"
POINT (-73.5253219 41.0456252),"401, Shippan Avenue, 06902, Shippan Avenue, Stamford, CT, United States"
POINT (-73.6246263 41.0215912),"Criterion Cinemas at Greenwich Plaza, 2, Railroad Avenue, 06830, Railroad Avenue, Greenwich, CT, United States"
POINT (-73.41751069954282 41.094157499999994),"Community Health Center - Norwalk, 49, Day Street, 06854, Day Street, Norwalk, CT, United States"
POINT (-73.5268844 41.0283137),"141, Stamford Avenue, 06902, Stamford Avenue, Stamford, CT, United States"
POINT (-73.547451 41.0578076),"61, Adams Avenue, 06902, Adams Avenue, Stamford, CT, United States"
POINT (-73.54716999718462 41.06136465),"J.M. Wright Technical High School, 120, Bridge Street, 06905, Bridge Street, Stamford, CT, United States"
POINT (-73.522358 41.0673869),"398, Glenbrook Road, 06906, Glenbrook Road, Stamford, CT, United States"
POINT (-73.5469512 41.1224759),"82, Scofieldtown Road, 06903, Scofieldtown Road, Stamford, CT, United States"
POINT (-73.4247058 41.0984749),"165, Flax Hill Road, 06854, Flax Hill Road, Norwalk, CT, United States"
POINT (-73.4262631 41.0821253),"11, Ingalls Avenue, 06854, Ingalls Avenue, Norwalk, CT, United States"
POINT (-73.56386048556372 41.088711950000004),"Roxbury Elementary School, 751, West Hill Road, 06902, West Hill Road, Stamford, CT, United States"
POINT (-73.5187793 41.0974266),"1127, Hope Street, 06907, Hope Street, Stamford, CT, United States"
POINT (-73.5222595 41.0532443),"83, Lockwood Avenue, 06902, Lockwood Avenue, Stamford, CT, United States"
POINT (-73.5639209 41.0573926),"60, Palmers Hill Road, 06902, Palmers Hill Road, Stamford, CT, United States"
POINT EMPTY,
POINT (-73.6329318 41.0218391),"20, Bridge Street, 06830, Bridge Street, Greenwich, CT, United States"
POINT EMPTY,
POINT (-73.4282222 41.1061082),"120, Connecticut Avenue, 06854, Connecticut Avenue, Norwalk, CT, United States"
POINT (-73.4282222 41.1061082),"120, Connecticut Avenue, 06854, Connecticut Avenue, Norwalk, CT, United States"
POINT (-73.4282222 41.1061082),"120, Connecticut Avenue, 06854, Connecticut Avenue, Norwalk, CT, United States"
POINT (-73.38959031975193 41.12187335),"Norwalk High School, 55, County Street, 06851, County Street, Norwalk, CT, United States"
POINT (-73.1743213 41.1831088),"Barnum School, 495, Waterview Avenue, 06608, Waterview Avenue, Bridgeport, CT, United States"
POINT (-73.16358944060909 41.20004665),"Bullard–Havens Technical High School, 500, Palisade Avenue, 06610, Palisade Avenue, Bridgeport, CT, United States"
POINT (-73.1973615 41.1853758),"275, George Street, 06604, George Street, Bridgeport, CT, United States"
POINT (-73.1906720126106 41.1746056),"Housatonic Community College, 900, Lafayette Boulevard, 06604, Lafayette Boulevard, Bridgeport, CT, United States"
POINT (-73.1604343 41.1781398),"250, Hollister Avenue, 06607, Hollister Avenue, Bridgeport, CT, United States"
POINT (-73.1624369 41.2036729),"700, Palisade Avenue, 06610, Palisade Avenue, Bridgeport, CT, United States"
POINT (-73.1774259 41.1945696),"479, Putnam Street, 06608, Putnam Street, Bridgeport, CT, United States"
POINT (-73.1691345 41.1777282),"30, Fourth Street, 06607, Fourth Street, Bridgeport, CT, United States"
POINT (-73.5523506 41.0433272),"8, Waverly Place, 06902, Waverly Place, Stamford, CT, United States"
POINT (-73.2181461 41.1682642),"1862, Commerce Drive, 06605, Commerce Drive, Bridgeport, CT, United States"
POINT (-73.5567369 41.0489864),"9, Dryden Street, 06902, Dryden Street, Stamford, CT, United States"
POINT (-73.5419128 41.0433455),"805, Atlantic Street, 06902, Atlantic Street, Stamford, CT, United States"
POINT (-73.1954561 41.1871021),"82, George Street, 06604, George Street, Bridgeport, CT, United States"
POINT (-73.180898 41.1893665),"1071, East Main Street, 06608, East Main Street, Bridgeport, CT, United States"
POINT (-73.2089984 41.2107565),"3618, Main Street, 06606, Main Street, Bridgeport, CT, United States"
