geometry,address
POINT (-94.112337 34.90414),"Rice Road, 72958, Waldron, Arkansas, United States"
POINT EMPTY,
POINT (-94.1168163 36.4428945),"145, North Curtis Avenue, 72751, North Curtis Avenue, Pea Ridge, AR, United States"
POINT (-94.17791990056446 36.2052921),"4346, Carriage Crossing Lane, 72762, Carriage Crossing Lane, Springdale, AR, United States"
POINT (-94.1682279 36.38229),"1, Acorn Circle, 72712, Acorn Circle, Bentonville, AR, United States"
POINT (-93.77146680965589 36.4173785),"Thorncrown Chapel, West Van Buren, 72632, West Van Buren, Eureka Springs, AR, United States"
POINT (-93.444961 36.3357305),"West Main Street, 72638, Green Forest, Arkansas, United States"
POINT (-93.7424827 36.0921448),"North Gaskill Street, 72740, Huntsville, Arkansas, United States"
POINT (-93.7424827 36.0921448),"North Gaskill Street, 72740, Huntsville, Arkansas, United States"
POINT EMPTY,
POINT (-94.1730869 35.3380071),"North Division Street, 72941, Lavaca, Arkansas, United States"
POINT (-94.171157 35.62568),"Nolen Kinnick Lane, 72946, Mountainburg, Arkansas, United States"
POINT (-94.051985 35.4988165),"North Main Street, 72947, Mulberry, Arkansas, United States"
POINT (-94.051985 35.4988165),"North Main Street, 72947, Mulberry, Arkansas, United States"
POINT (-94.410241 35.404489),"Kelley Highway, 72904, Fort Smith, Arkansas, United States"
POINT (-94.051985 35.4988165),"North Main Street, 72947, Mulberry, Arkansas, United States"
POINT EMPTY,
POINT (-94.08344339282864 36.1603005),"Don Tyson School of Innovation, 2667, Hylton Road, 72764, Hylton Road, Springdale, Arkansas, United States"
POINT (-94.0199688 36.026405),"North Center Street, 72727, Elkins, Arkansas, United States"
POINT (-94.15441199542175 36.063108),"14, North Willow Avenue, 72701, North Willow Avenue, Fayetteville, AR, United States"
POINT (-94.1339876 36.3323116),"Community Clinic Rogers Medical, 1233, West Poplar Street, 72756, West Poplar Street, Rogers, AR, United States"
POINT (-94.1171587 36.4542906),"Pea Ridge Police Department, West Pickens Road, 72751, West Pickens Road, Pea Ridge, AR, United States"
POINT (-94.1633512 36.284274),"Parenti-Morris Eye Care, 3710, Southern Hills Boulevard, 72758, Southern Hills Boulevard, Rogers, AR, United States"
POINT (-94.1339876 36.3323116),"Community Clinic Rogers Medical, 1233, West Poplar Street, 72756, West Poplar Street, Rogers, AR, United States"
POINT (-94.5404962 36.1881365),"Siloam Springs, 72761, Arkansas, United States"
POINT (-94.13632099841544 36.18542185),"610, West Emma Avenue, 72764, West Emma Avenue, Springdale, Arkansas, United States"
POINT (-94.12301249618358 36.1857964),"614, E Emma Ave, 72764, E Emma Ave, Springdale, AR, United States"
POINT (-94.13632099841544 36.18542185),"610, West Emma Avenue, 72764, West Emma Avenue, Springdale, Arkansas, United States"
POINT (-94.14848616594813 36.19066755),"Elmdale Elementary School, 420, North West End Street, 72764, North West End Street, Springdale, AR, United States"
POINT (-94.12824480852998 36.15892085),"George Elementary School, 2878, Powell Street, 72764, Powell Street, Springdale, Arkansas, United States"
POINT (-94.0693049 36.1635076),"5645, Tower Road, 72764, Tower Road, Springdale, AR, United States"
POINT (-94.21941761826452 36.06960505),"Owl Creek School, 375, North Rupple Road, 72704, North Rupple Road, Fayetteville, AR, United States"
POINT (-94.10655689716725 36.17283525),"Parson Hills Elementary School, 2326, Cardinal Drive, 72764, Cardinal Drive, Springdale, Arkansas, United States"
POINT (-94.3258879 35.9841405),"801, Viney Grove Road, 72753, Viney Grove Road, Prairie Grove, AR, United States"
POINT (-75.09070148376391 39.9455659),"Federal Laundromat, Federal Street, 08105, Federal Street, Camden, NJ, United States"
POINT (-75.12342785019686 39.9543893),"817, Howard Street, 08102, Howard Street, Camden, NJ, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-75.11353008071116 39.7192998),"AT&T, Delsea Drive North, 08028, Delsea Drive North, Glassboro, NJ, United States"
POINT (-75.1506585 39.8437641),"Red Bank Avenue, 08096, Woodbury, New Jersey, United States"
POINT (-75.03341 39.74406845),"717, Jefferson Drive, 08012, Jefferson Drive, Turnersville, NJ, United States"
